Flight Distance,Outliers (Qurtile function),Outliers (Use Mean & Standard Deviation),,1. Mean of Column Data,,
821,FALSE,FALSE,,1190.316392,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,2. Median of Column Data,,
1905,TRUE,TRUE,,844,,
3470,TRUE,TRUE,,,,
3788,TRUE,TRUE,,"3. Variance, Standard Deviation and Standard Error",,
1963,FALSE,TRUE,,,,
853,TRUE,TRUE,,Variance,994903.7843,
2607,TRUE,TRUE,,Standard Deviation,997.4486374,
2822,TRUE,TRUE,,Standar Error,2.767713125,
821,TRUE,TRUE,,Standard Error,2.767713125,
421,TRUE,TRUE,,,,
453,TRUE,TRUE,,,,
853,TRUE,TRUE,,4. Decide the Shape of Distribution,,
853,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
853,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
821,TRUE,TRUE,,,,
3460,TRUE,TRUE,,,,
1676,TRUE,TRUE,,,,
2168,TRUE,TRUE,,,,
2867,TRUE,TRUE,,,,
3734,TRUE,TRUE,,,,
3088,TRUE,TRUE,,,,
212,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
173,TRUE,TRUE,,*Mean is Greater than Median = Right Outlayers = Positive,,
173,TRUE,TRUE,,Mean,1190.316392,
1672,TRUE,TRUE,,Median,844,
2884,TRUE,TRUE,,mean (1190.32)> Median (844),,Right Outlyers
212,TRUE,TRUE,,,,
215,TRUE,TRUE,,,,
67,TRUE,TRUE,,5. Find Outliers,,
212,TRUE,TRUE,,,,
1554,TRUE,TRUE,,*Apply QUARTILE Function,,
108,TRUE,TRUE,,Q1,414,
1584,TRUE,TRUE,,Q3,1744,
2077,TRUE,TRUE,,IQR,1330,
173,TRUE,TRUE,,Upper Limit,3115.474588,
173,TRUE,TRUE,,Lower Limit,-1581,
108,TRUE,TRUE,,,,
212,TRUE,TRUE,,*Use Mean & Standard Deviation,,
108,TRUE,TRUE,,Mean,1190.316392,
108,TRUE,TRUE,,Standar Deviation,997.4486374,
1859,TRUE,TRUE,,Upper Limit,2686.489348,
67,TRUE,TRUE,,Lower Limit,-305.856564,
212,TRUE,TRUE,,,,
2853,TRUE,TRUE,,6. Graph the Column Data and Comment,,
3655,TRUE,TRUE,,,,
2485,TRUE,TRUE,,,,
67,TRUE,TRUE,,7.Boxplot,,
2199,TRUE,TRUE,,,,
3997,TRUE,TRUE,,,,
3392,TRUE,TRUE,,,,
3391,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
2423,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
108,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
67,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
212,TRUE,TRUE,,,,
3213,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
3201,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
212,TRUE,TRUE,,,,
108,TRUE,TRUE,,,,
108,TRUE,TRUE,,,,
67,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
108,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
215,TRUE,TRUE,,,,
108,TRUE,TRUE,,,,
215,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
212,TRUE,TRUE,,,,
67,TRUE,TRUE,,,,
67,TRUE,TRUE,,,,
108,TRUE,TRUE,,,,
2865,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
2035,TRUE,TRUE,,,,
3513,TRUE,TRUE,,,,
108,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
173,TRUE,TRUE,,,,
215,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
2992,TRUE,TRUE,,,,
1970,TRUE,TRUE,,,,
1964,TRUE,TRUE,,,,
3227,TRUE,TRUE,,,,
2639,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
3477,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
1954,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
2046,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
3389,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
1553,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
162,TRUE,TRUE,,,,
3043,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
1868,TRUE,TRUE,,,,
562,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
2029,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
2374,TRUE,TRUE,,,,
3261,TRUE,TRUE,,,,
3538,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
3002,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
2371,TRUE,TRUE,,,,
1946,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
3758,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
1534,TRUE,TRUE,,,,
3424,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
2731,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
3415,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
1798,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
3822,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
227,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
2975,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
2569,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
2497,TRUE,TRUE,,,,
213,TRUE,TRUE,,,,
